panel,condition,iteration,center,lower,upper,run_count
a,with_shelf,1,-6.779736828551984,-14.13317943073028,-1.9337998489677828,5
a,with_shelf,2,-4.459602651921701,-9.135036644145128,-1.9337998489677828,5
a,with_shelf,3,-4.219626960463624,-8.718553411105527,-1.8076844329548494,5
a,with_shelf,4,-2.429850727754688,-4.358346852696753,-1.7619159079229054,5
a,with_shelf,5,-2.4242431177639334,-4.358346852696753,-1.7338778579691299,5
a,with_shelf,6,-2.3689811109693837,-4.183564099174278,-1.647612772920391,5
a,with_shelf,7,-2.280198392925796,-4.183564099174278,-1.647612772920391,5
a,with_shelf,8,-2.276151376887781,-4.183564099174278,-1.647612772920391,5
a,with_shelf,9,-2.263890995360584,-4.183564099174278,-1.6270046304130306,5
a,with_shelf,10,-2.263890995360584,-4.183564099174278,-1.6270046304130306,5
a,with_shelf,11,-2.263846853564371,-4.183564099174278,-1.626783921431965,5
a,with_shelf,12,-2.2595534167779463,-4.183564099174278,-1.622827205630383,5
a,with_shelf,13,-2.259411095315296,-4.183564099174278,-1.622827205630383,5
a,with_shelf,14,-2.23589929601387,-4.183564099174278,-1.622827205630383,5
a,with_shelf,15,-2.1391608721909936,-3.753910064069314,-1.622827205630383,5
a,with_shelf,16,-2.1069326011102354,-3.685476520722776,-1.6052459036720896,5
a,with_shelf,17,-2.0885568280846014,-3.5935976555946043,-1.6052459036720896,5
a,with_shelf,18,-2.0763553621485715,-3.5935976555946043,-1.5676553914415021,5
a,with_shelf,19,-2.0683296032457905,-3.560005583793297,-1.5676553914415021,5
a,with_shelf,20,-2.0683296032457905,-3.560005583793297,-1.5676553914415021,5
a,without_shelf,1,-9.5981191964487,-13.386422574571553,-1.9194438749223712,5
a,without_shelf,2,-6.996694541812609,-10.65040181527935,-1.8738145613787571,5
a,without_shelf,3,-6.412448448568955,-10.65040181527935,-1.8738145613787571,5
a,without_shelf,4,-6.123907043258347,-9.486288935764701,-1.8738145613787571,5
a,without_shelf,5,-5.679870101142217,-9.486288935764701,-1.8738145613787571,5
a,without_shelf,6,-5.679870101142217,-9.486288935764701,-1.8738145613787571,5
a,without_shelf,7,-5.679870101142217,-9.486288935764701,-1.8738145613787571,5
a,without_shelf,8,-5.564725429438312,-9.486288935764701,-1.811659721236492,5
a,without_shelf,9,-5.564725429438312,-9.486288935764701,-1.811659721236492,5
a,without_shelf,10,-5.562787391387948,-9.486288935764701,-1.8019695309846724,5
a,without_shelf,11,-5.519476555518972,-9.486288935764701,-1.8019695309846724,5
a,without_shelf,12,-5.296379805318962,-9.449250037175814,-1.8019695309846724,5
a,without_shelf,13,-5.295185633534194,-9.449250037175814,-1.8019695309846724,5
