view,method,run,episode,score,best_score,distance_integral_score,training_return,cfd_steps,teacher_cfd_steps,cumulative_cfd_steps,candidate,iteration
cost,BC-PPO,1,1,-10.06520583640006,-10.06520583640006,-10.06520583640006,-12.052587780788935,8339,131053,139392,,
cost,BC-PPO,1,2,-10.138470128891496,-10.06520583640006,-10.138470128891496,-12.143461278152959,8406,131053,147798,,
cost,BC-PPO,1,3,-10.06049033204663,-10.06049033204663,-10.06049033204663,-12.042255943344003,8476,131053,156274,,
cost,BC-PPO,1,4,-9.771335438198781,-9.771335438198781,-9.771335438198781,-11.697243893817626,8868,131053,165142,,
cost,BC-PPO,1,5,-10.338256872600663,-9.771335438198781,-10.338256872600663,-12.389059772320977,8919,131053,174061,,
cost,BC-PPO,1,6,-10.28020342089325,-9.771335438198781,-10.28020342089325,-12.326371585437078,8642,131053,182703,,
cost,BC-PPO,1,7,-10.197902583223136,-9.771335438198781,-10.197902583223136,-12.216821955348395,9158,131053,191861,,
cost,BC-PPO,1,8,-10.031992584906618,-9.771335438198781,-10.031992584906618,-12.018264810956204,9265,131053,201126,,
cost,BC-PPO,1,9,-10.736376786629162,-9.771335438198781,-10.736376786629162,-12.879903796109264,8719,131053,209845,,
cost,BC-PPO,1,10,-10.571725367303603,-9.771335438198781,-10.571725367303603,-12.683692106639757,8557,131053,218402,,
cost,BC-PPO,1,11,-10.39774631994503,-9.771335438198781,-10.39774631994503,-12.46628793605516,8761,131053,227163,,
cost,BC-PPO,1,12,-10.481416923769224,-9.771335438198781,-10.481416923769224,-12.571518021503513,8713,131053,235876,,
cost,BC-PPO,1,13,-10.899607333147966,-9.771335438198781,-10.899607333147966,-13.083352238735175,8417,131053,244293,,
cost,BC-PPO,1,14,-10.94699906010227,-9.771335438198781,-10.94699906010227,-13.145180067182263,8320,131053,252613,,
cost,BC-PPO,1,15,-10.613207013948333,-9.771335438198781,-10.613207013948333,-12.734137587544849,8484,131053,261097,,
cost,BC-PPO,1,16,-10.894862282377078,-9.771335438198781,-10.894862282377078,-13.080965243114171,8587,131053,269684,,
cost,BC-PPO,1,17,-10.749282173755393,-9.771335438198781,-10.749282173755393,-12.900773231104008,8803,131053,278487,,
cost,BC-PPO,1,18,-10.683354207095906,-9.771335438198781,-10.683354207095906,-12.823744027299933,8908,131053,287395,,
cost,BC-PPO,1,19,-10.814651861004586,-9.771335438198781,-10.814651861004586,-12.983296292327067,8888,131053,296283,,
cost,BC-PPO,1,20,-10.959607685432571,-9.771335438198781,-10.959607685432571,-13.160478745856686,8701,131053,304984,,
cost,BC-PPO,1,21,-10.943078181596935,-9.771335438198781,-10.943078181596935,-13.14040132174113,8448,131053,313432,,
cost,BC-PPO,1,22,-10.955335043807672,-9.771335438198781,-10.955335043807672,-13.150403687661763,8618,131053,322050,,
cost,BC-PPO,1,23,-10.787126138232967,-9.771335438198781,-10.787126138232967,-12.945116961710337,8656,131053,330706,,
cost,BC-PPO,1,24,-10.657290025937174,-9.771335438198781,-10.657290025937174,-12.79100714706716,8851,131053,339557,,
cost,BC-PPO,1,25,-10.611187328475731,-9.771335438198781,-10.611187328475731,-12.726294024015086,8834,131053,348391,,
cost,BC-PPO,1,26,-10.819048708065198,-9.771335438198781,-10.819048708065198,-12.985045129094315,8699,131053,357090,,
cost,BC-PPO,1,27,-10.535681833886354,-9.771335438198781,-10.535681833886354,-12.63443407005522,8809,131053,365899,,
cost,BC-PPO,1,28,-10.645177469474309,-9.771335438198781,-10.645177469474309,-12.772403293103595,8847,131053,374746,,
cost,BC-PPO,1,29,-10.795899528380252,-9.771335438198781,-10.795899528380252,-12.956231457035736,8700,131053,383446,,
cost,BC-PPO,1,30,-10.59050752755717,-9.771335438198781,-10.59050752755717,-12.705088013575338,8869,131053,392315,,
cost,BC-PPO,1,31,-10.54142538629697,-9.771335438198781,-10.54142538629697,-12.63981749469354,8763,131053,401078,,
cost,BC-PPO,1,32,-10.704688587119252,-9.771335438198781,-10.704688587119252,-12.842596349079098,8710,131053,409788,,
cost,BC-PPO,1,33,-10.510267072149386,-9.771335438198781,-10.510267072149386,-12.596324160932626,8544,131053,418332,,
cost,BC-PPO,1,34,-10.370917286001388,-9.771335438198781,-10.370917286001388,-12.427529695085614,8624,131053,426956,,
cost,BC-PPO,1,35,-10.661184362886752,-9.771335438198781,-10.661184362886752,-12.78237161729357,8521,131053,435477,,
cost,BC-PPO,1,36,-10.530129505089254,-9.771335438198781,-10.530129505089254,-12.617371797442402,8692,131053,444169,,
cost,BC-PPO,1,37,-10.318829428295139,-9.771335438198781,-10.318829428295139,-12.360526419168012,8427,131053,452596,,
cost,BC-PPO,1,38,-10.26686613519098,-9.771335438198781,-10.26686613519098,-12.303749466324156,8719,131053,461315,,
cost,BC-PPO,1,39,-10.387800214788907,-9.771335438198781,-10.387800214788907,-12.452086080815276,8486,131053,469801,,
cost,BC-PPO,1,40,-10.616836207274908,-9.771335438198781,-10.616836207274908,-12.731926786989641,8863,131053,478664,,
cost,BC-PPO,1,41,-10.357951824011256,-9.771335438198781,-10.357951824011256,-12.409521671171383,8946,131053,487610,,
cost,BC-PPO,1,42,-10.243661216327306,-9.771335438198781,-10.243661216327306,-12.272678338948898,8898,131053,496508,,
cost,BC-PPO,1,43,-10.349764239693785,-9.771335438198781,-10.349764239693785,-12.40178689142609,8807,131053,505315,,
cost,BC-PPO,1,44,-10.617845922367074,-9.771335438198781,-10.617845922367074,-12.733387246717431,8785,131053,514100,,
cost,BC-PPO,1,45,-10.326128211000663,-9.771335438198781,-10.326128211000663,-12.373286935455086,8937,131053,523037,,
cost,BC-PPO,1,46,-10.514612458112587,-9.771335438198781,-10.514612458112587,-12.61144576928541,8654,131053,531691,,
cost,BC-PPO,1,47,-10.332524794340255,-9.771335438198781,-10.332524794340255,-12.383691361871978,8655,131053,540346,,
cost,BC-PPO,1,48,-10.0924021800924,-9.771335438198781,-10.0924021800924,-12.08459383728081,9123,131053,549469,,
cost,BC-PPO,1,49,-10.295133850903902,-9.771335438198781,-10.295133850903902,-12.338137690958034,8424,131053,557893,,
cost,BC-PPO,1,50,-10.03053584217352,-9.771335438198781,-10.03053584217352,-12.013077614676307,8466,131053,566359,,
cost,BC-PPO,1,51,-10.45960816615632,-9.771335438198781,-10.45960816615632,-12.538496042491422,8595,131053,574954,,
cost,BC-PPO,1,52,-10.081913430577892,-9.771335438198781,-10.081913430577892,-12.06647872453417,8608,131053,583562,,
cost,BC-PPO,1,53,-10.393354885668353,-9.771335438198781,-10.393354885668353,-12.454460232543326,8272,131053,591834,,
cost,BC-PPO,1,54,-10.280130109112747,-9.771335438198781,-10.280130109112747,-12.310185854288065,8595,131053,600429,,
cost,BC-PPO,1,55,-10.23799750255664,-9.771335438198781,-10.23799750255664,-12.261449121656986,8687,131053,609116,,
cost,BC-PPO,1,56,-9.943771498509207,-9.771335438198781,-9.943771498509207,-11.904647435626485,8996,131053,618112,,
cost,BC-PPO,1,57,-10.222819907183471,-9.771335438198781,-10.222819907183471,-12.249855388641908,8581,131053,626693,,
cost,BC-PPO,1,58,-10.422704035272789,-9.771335438198781,-10.422704035272789,-12.494034833451662,8728,131053,635421,,
cost,BC-PPO,1,59,-10.276641020547276,-9.771335438198781,-10.276641020547276,-12.31368968574867,8820,131053,644241,,
cost,BC-PPO,1,60,-10.372999388119512,-9.771335438198781,-10.372999388119512,-12.42782089599297,8546,131053,652787,,
cost,BC-PPO,1,61,-10.35097585154724,-9.771335438198781,-10.35097585154724,-12.402066328583038,8579,131053,661366,,
