id,run,replicate,candidate_index,online_score,plotted_score,elapsed_fraction,final_distance_L,captured,unstable
3d_naive_1_c1_cuda124,naive_1,naive_1,1,-10.458723351715792,-8.638670548676242,0.3120151138305664,9.41227912902832,False,False
3d_naive_1_c2_cuda124,naive_1,naive_1,2,-0.2136699534104456,-2.1019915371583093,0.18947490692138672,0.7478669881820679,True,False
3d_naive_1_c3_cuda124,naive_1,naive_1,3,-10.667001392367174,-8.787612560274889,0.32219017028808594,9.719134330749512,False,False
3d_naive_1_c4_cuda124,naive_1,naive_1,4,-0.22608338544458118,-2.114603192783296,0.19206003189086915,0.7494609951972961,True,False
3d_naive_2_c1_cuda124,naive_2,naive_2,1,-0.014121892873771635,-1.8952400011463242,0.15253598213195801,0.7469454407691956,True,False
3d_naive_2_c2_cuda124,naive_2,naive_2,2,-0.02391182432073391,-1.90478356132406,0.15407872200012207,0.74972003698349,True,False
3d_naive_2_c3_cuda124,naive_2,naive_2,3,-0.022613000029803487,-1.9036998549644961,0.15400209426879882,0.7485678195953369,True,False
3d_naive_2_c4_cuda124,naive_2,naive_2,4,-0.012773841200267366,-1.8945907848457448,0.15356967926025392,0.7444849610328674,True,False
3d_naive_3_c1_cuda124,naive_3,naive_3,1,-4.508615049175134,-4.132505830577722,1.0,2.8805460929870605,False,False
3d_naive_3_c2_cuda124,naive_3,naive_3,2,-5.08121480028577,-4.475241365837528,1.0,4.029867172241211,False,False
3d_naive_3_c3_cuda124,naive_3,naive_3,3,-4.454766513578821,-3.91437778639071,1.0,3.7019436359405518,False,False
3d_naive_3_c4_cuda124,naive_3,naive_3,4,-4.562114341648158,-4.004734857471522,1.0,3.7868974208831787,False,False
3d_transfer_1_c1_cuda124,transfer_1,transfer_1,1,-0.16164064116804555,-2.049364615395951,0.18710996627807616,0.7484900951385498,True,False
3d_transfer_1_c2_cuda124,transfer_1,transfer_1,2,-11.892703815095492,-9.72341146432645,0.34166004180908205,11.188121795654297,False,False
3d_transfer_1_c3_cuda124,transfer_1,transfer_1,3,-11.125223458753819,-9.151790200697178,0.3120701217651367,10.17923641204834,False,False
3d_transfer_1_c4_cuda124,transfer_1,transfer_1,4,-11.168787785624122,-9.18121563444004,0.31652519226074216,10.254385948181152,False,False
3d_transfer_2_c1_cuda124,transfer_2,transfer_2,1,0.0912604937301571,-1.7906751399292058,0.15785009384155274,0.7481719255447388,True,False
3d_transfer_2_c2_cuda124,transfer_2,transfer_2,2,0.0759578589349823,-1.806077066048996,0.15873010635375975,0.7485554814338684,True,False
3d_transfer_2_c3_cuda124,transfer_2,transfer_2,3,-0.022632954388928095,-1.90736484745152,0.1713800048828125,0.7477205395698547,True,False
3d_transfer_2_c4_cuda124,transfer_2,transfer_2,4,0.07665995861042796,-1.8056483533288117,0.1599951171875,0.7484535574913025,True,False
3d_transfer_3_c1_cuda124,transfer_3,transfer_3,1,-0.14832360255297816,-2.0367267855363766,0.18864992141723633,0.7466340065002441,True,False
3d_transfer_3_c2_cuda124,transfer_3,transfer_3,2,-0.14736706799552257,-2.035604985895608,0.18853992462158203,0.7473503351211548,True,False
3d_transfer_3_c3_cuda124,transfer_3,transfer_3,3,-0.15130756772712717,-2.0391394678469084,0.18881492614746093,0.7496554255485535,True,False
3d_transfer_3_c4_cuda124,transfer_3,transfer_3,4,-0.13531989738540595,-2.0235838205535885,0.18749496459960938,0.7461753487586975,True,False
