replicate_id,iteration,observation_basis,best_value_source,current_round_source
naive_1,0,evaluation,raw_data/policy_scores/three_dimensional/naive_1/seed.json.gz,policy_scores
naive_1,1,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_1_worker_1_solver_c24e37740d95.json.gz,policy_scores
naive_1,2,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_2_worker_4_solver_d282288428b4.json.gz,policy_scores
naive_1,3,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_3_worker_2_solver_610ca5f49cc1.json.gz,policy_scores
naive_1,4,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_4_worker_2_solver_9f4d1c41c5e1.json.gz,policy_scores
naive_1,5,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_4_worker_2_solver_9f4d1c41c5e1.json.gz,policy_scores
naive_1,6,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_4_worker_2_solver_9f4d1c41c5e1.json.gz,policy_scores
naive_1,7,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_4_worker_2_solver_9f4d1c41c5e1.json.gz,policy_scores
naive_1,8,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_8_worker_4_solver_7c3c97939b32.json.gz,policy_scores
naive_1,9,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_9_worker_4_solver_a2a24e9e57f4.json.gz,policy_scores
naive_1,10,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_10_worker_1_solver_072da2f3a45e.json.gz,policy_scores
naive_1,11,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_10_worker_1_solver_072da2f3a45e.json.gz,policy_scores
naive_1,12,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_12_worker_1_solver_02eaf03fe1d2.json.gz,policy_scores
naive_1,13,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_12_worker_1_solver_02eaf03fe1d2.json.gz,policy_scores
naive_1,14,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_12_worker_1_solver_02eaf03fe1d2.json.gz,policy_scores
naive_1,15,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_12_worker_1_solver_02eaf03fe1d2.json.gz,policy_scores
naive_1,16,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_12_worker_1_solver_02eaf03fe1d2.json.gz,policy_scores
naive_1,17,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,18,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,19,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,20,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,21,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,22,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,23,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,24,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,25,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,26,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
naive_1,27,evaluation,raw_data/policy_scores/three_dimensional/naive_1/step_17_worker_1_solver_649d7e789a5a.json.gz,policy_scores
