case,seas_captures,seas_total,drl_captures,drl_total,shown_policy,t_end,s,target_x_L,target_y_L,flow_speed,cylinder_x_L,cylinder_y_L,cylinder_diameters_L
nominal,5,5,5,5,SEAS_1,33.725982666015625,-1.5941235002055243,9.0,9.5,0.18000000715255737,"[3.0, 3.0, 6.0, 6.0]","[8.5, 11.0, 7.25, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
a1,5,5,0,5,SEAS_1,39.071929931640625,-1.823202317715091,7.5,8.0,0.18000000715255737,"[3.0, 3.0, 6.0, 6.0]","[8.5, 11.0, 7.25, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
a2,5,5,0,5,SEAS_1,36.98199462890625,-1.721557991073877,7.5,11.0,0.18000000715255737,"[3.0, 3.0, 6.0, 6.0]","[8.5, 11.0, 7.25, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
a3,5,5,0,5,SEAS_1,31.1519775390625,-1.4406683654333678,10.5,9.5,0.18000000715255737,"[3.0, 3.0, 6.0, 6.0]","[8.5, 11.0, 7.25, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
b1,4,5,0,5,SEAS_1,34.352996826171875,-1.5872385214388243,9.0,9.5,0.18000000715255737,"[3.0, 3.0, 4.5, 4.5]","[8.5, 11.0, 7.25, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
b2,5,5,0,5,SEAS_1,32.87347412109375,-1.583371255978419,9.0,9.5,0.18000000715255737,"[3.0, 3.0, 7.5, 7.5]","[8.5, 11.0, 7.25, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
b3,5,5,0,5,SEAS_1,34.29249572753906,-1.5938758067028358,9.0,9.5,0.18000000715255737,"[3.0, 3.0, 6.0, 6.0]","[8.5, 11.0, 9.75, 12.25]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
c1,4,5,0,5,SEAS_1,33.54447937011719,-1.598849250686361,9.0,9.5,0.18000000715255737,"[3.0, 3.0, 6.0]","[8.5, 11.0, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
c2,3,5,0,5,SEAS_1,35.2440185546875,-1.6252614063050834,9.0,9.5,0.18000000715255737,"[3.0, 6.0]","[11.0, 9.75]","[0.6499999761581421, 0.6499999761581421]"
c3,4,5,0,5,SEAS_1,35.222015380859375,-1.6149155626341782,9.0,9.5,0.18000000715255737,[6.0],[9.75],[0.6499999761581421]
d1,5,5,0,5,SEAS_1,32.801971435546875,-1.570350610083201,9.0,9.5,0.1599999964237213,"[3.0, 3.0, 6.0, 6.0]","[8.5, 11.0, 7.25, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
d2,3,5,0,5,SEAS_1,34.92498779296875,-1.6249764340358344,9.0,9.5,0.20000000298023224,"[3.0, 3.0, 6.0, 6.0]","[8.5, 11.0, 7.25, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
d3,4,5,0,5,SEAS_1,37.828521728515625,-1.734984121676114,9.0,9.5,0.2199999988079071,"[3.0, 3.0, 6.0, 6.0]","[8.5, 11.0, 7.25, 9.75]","[0.6499999761581421, 0.6499999761581421, 0.6499999761581421, 0.6499999761581421]"
