case_id,stage,phase_id,ablation,termination,peak_abs_crossflow_time_T,peak_abs_crossflow_signed_value_U,peak_abs_crossflow_magnitude_U,peak_abs_crossflow_distance_L,peak_abs_crossflow_bearing_rad,peak_abs_yaw_moment_time_T,peak_abs_yaw_moment_signed_value_L2,global_yaw_moment_peak_time_minus_crossflow_peak_time_T,crossflow_response_window_T,crossflow_response_window_clock_basis,crossflow_response_window_coverage_tolerance_T,crossflow_response_window_coverage_T,crossflow_response_window_complete,crossflow_response_lateral_force_rms,crossflow_response_peak_abs_lateral_force,crossflow_response_peak_abs_lateral_force_lag_T,crossflow_response_yaw_moment_rms,crossflow_response_peak_abs_yaw_moment,crossflow_response_peak_abs_yaw_moment_lag_T,crossflow_response_yaw_rate_rms,crossflow_response_peak_abs_yaw_rate,crossflow_response_peak_abs_yaw_rate_lag_T
iteration_19__phase_0__nominal,iteration_19,phase_0,nominal,target_reached,8.42596435546875,0.7331629991531372,0.7331629991531372,12.05749797821045,0.19983476400375366,7.65594482421875,4.188623963331338,-0.77001953125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,329.6096364280132,1599.8047090378836,0.0,0.7960171349765853,3.993633318526207,0.0,2.476991470982641,3.5942935943603516,0.4949951171875
seed__phase_0__nominal,seed,phase_0,nominal,left_domain,31.60845947265625,-0.5475761294364929,0.5475761294364929,8.722495079040527,1.1557825803756714,36.42652893066406,-0.5295231367144879,4.8180694580078125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,30.771603290047562,81.91819598445115,0.319000244140625,0.12668362726238197,0.3072408050533113,0.511505126953125,2.124171767612791,3.3132693767547607,0.511505126953125
seed__phase_1__nominal,seed,phase_1,nominal,left_domain,8.514053344726562,-0.48810338973999023,0.48810338973999023,12.789044380187988,1.0915277004241943,11.72601318359375,0.5409262343264345,3.2119598388671875,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,27.191800406906673,62.65246090573941,0.08245849609375,0.12705553712738704,0.2717982810274435,0.0219879150390625,1.7663912345812234,2.9482743740081787,0.3024139404296875
seed__phase_2__nominal,seed,phase_2,nominal,left_domain,8.50848388671875,-0.506256639957428,0.506256639957428,13.002924919128418,1.3195937871932983,13.7994384765625,0.5245527651686643,5.29095458984375,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,33.24601980250991,106.91986213841717,0.45098876953125,0.1407060313427211,0.41007663431180674,0.45098876953125,1.780068824285462,2.961556911468506,0.302490234375
iteration_1__phase_0__nominal,iteration_1,phase_0,nominal,target_reached,57.837982177734375,0.7235413193702698,0.7235413193702698,2.2199759483337402,0.009892759844660759,30.43695068359375,0.5683354559266105,-27.401031494140625,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,25.036584478906175,50.05997015966856,0.13751220703125,0.131728551457338,0.272580612467209,0.076995849609375,1.9790397471358598,3.3555619716644287,0.0
iteration_1__phase_1__nominal,iteration_1,phase_1,nominal,target_reached,50.8751220703125,0.6775937676429749,0.6775937676429749,4.881241321563721,0.05212346464395523,50.3140869140625,0.5250030215888088,-0.56103515625,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,37.72712660401487,113.31766631893582,0.098968505859375,0.15426135914645045,0.42630005277999317,0.098968505859375,1.859108190660462,3.0749690532684326,0.291473388671875
iteration_1__phase_2__nominal,iteration_1,phase_2,nominal,left_domain,15.44940185546875,0.5090686678886414,0.5090686678886414,13.953119277954102,0.9345697164535522,49.4998779296875,0.6125796719206633,34.05047607421875,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,43.22513672614846,166.84079356430817,0.016510009765625,0.14059137783084366,0.42921947977470154,0.016510009765625,2.0859484958312677,3.2083709239959717,0.5170135498046875
iteration_6__phase_0__nominal,iteration_6,phase_0,nominal,target_reached,42.069488525390625,0.6797739863395691,0.6797739863395691,2.4790492057800293,-0.25417864322662354,14.470489501953125,1.7270237842183178,-27.5989990234375,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,52.8643944503019,131.81314313807536,0.5169830322265625,0.1898045920231696,0.48140260576667515,0.126495361328125,2.183869954592945,3.508894205093384,0.3189849853515625
iteration_6__phase_1__nominal,iteration_6,phase_1,nominal,target_reached,41.38764953613281,0.6817418336868286,0.6817418336868286,3.4537315368652344,-0.23208077251911163,13.398040771484375,2.1995603522375404,-27.989608764648438,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,41.546392513380034,104.40935583243026,0.1374969482421875,0.1650490076586246,0.3952943330052676,0.1209869384765625,2.1121343123129592,3.4382972717285156,0.3079986572265625
iteration_6__phase_2__nominal,iteration_6,phase_2,nominal,target_reached,43.224517822265625,0.6886860132217407,0.6886860132217407,4.2280449867248535,-0.1047901138663292,17.792449951171875,-2.9467169376148377,-25.43206787109375,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,39.559656786984085,114.8016120339708,0.14849853515625,0.1601014788041752,0.40700308826035325,0.1320037841796875,2.1319932337472274,3.4198875427246094,0.313507080078125
iteration_7__phase_0__nominal,iteration_7,phase_0,nominal,target_reached,29.221435546875,-0.6850401163101196,0.6850401163101196,4.288857936859131,0.2662683129310608,9.635986328125,-2.1662418822059237,-19.58544921875,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,44.961463851185094,149.3909398581686,0.0164794921875,0.16256729236137538,0.48582937524975023,0.0164794921875,2.476913984263924,3.6297225952148438,0.506011962890625
